gene,anchor_index,function
IGKV0-32WP*00,261,F
IGKV0-3PCH*00,264,F
IGKV0-4655*00,276,F
IGKV0-5RRN*00,264,F
IGKV0-6GIS*00,276,F
IGKV0-6IRJ*00,264,F
IGKV0-6OP7*00,261,F
IGKV0-6OPE*00,261,F
IGKV0-6W7P*00,276,F
IGKV0-72GN*00,279,F
IGKV0-77PF*00,258,F
IGKV0-7RBQ*00,279,F
IGKV0-7T6X*00,258,F
IGKV0-7XPT*00,276,F
IGKV0-AFTM*00,261,F
IGKV0-ATWT*00,261,F
IGKV0-AYVP*00,279,F
IGKV0-B2Y6*00,261,F
IGKV0-BMNF*00,258,F
IGKV0-BMZ6*00,261,F
IGKV0-CAIO*00,261,F
IGKV0-CCS6*00,258,F
IGKV0-CLYB*00,264,F
IGKV0-CNF2*00,258,F
IGKV0-DRVA*00,258,F
IGKV0-EEDV*00,279,F
IGKV0-ETDF*00,276,F
IGKV0-F3JO*00,276,F
IGKV0-F3OS*00,261,F
IGKV0-FLCD*00,261,F
IGKV0-FOXV*00,279,F
IGKV0-FRL7*00,261,F
IGKV0-GEUX*00,261,F
IGKV0-GHIL*00,264,F
IGKV0-GTUT*00,276,F
IGKV0-HBLU*00,261,F
IGKV0-HCXQ*00,264,F
IGKV0-HFE2*00,273,F
IGKV0-HSK5*00,258,F
IGKV0-HSRA*00,261,F
IGKV0-HZ6N*00,261,F
IGKV0-INRT*00,273,F
IGKV0-IZ43*00,261,F
IGKV0-JAU4*00,279,F
IGKV0-JJCB*00,261,F
IGKV0-JPDO*00,261,F
IGKV0-JPPD*00,258,F
IGKV0-LDQ4*00,261,F
IGKV0-LKGS*00,264,F
IGKV0-MA7N*00,264,F
IGKV0-MAQO*00,258,F
IGKV0-MCYQ*00,261,F
IGKV0-MOFC*00,264,F
IGKV0-ND7G*00,258,F
IGKV0-NICY*00,276,F
IGKV0-NOE5*00,276,F
IGKV0-NPIN*00,279,F
IGKV0-PKCM*00,273,F
IGKV0-Q76C*00,258,F
IGKV0-RHAF*00,261,F
IGKV0-RMIR*00,258,F
IGKV0-RNNU*00,261,F
IGKV0-SEEI*00,264,F
IGKV0-SUW4*00,273,F
IGKV0-SV3T*00,261,F
IGKV0-T2D7*00,279,F
IGKV0-T2T6*00,261,F
IGKV0-TEYP*00,261,F
IGKV0-TO7E*00,279,F
IGKV0-TYIK*00,258,F
IGKV0-U4UD*00,261,F
IGKV0-UJS6*00,261,F
IGKV0-UKFS*00,273,F
IGKV0-UQHH*00,261,F
IGKV0-UWM3*00,261,F
IGKV0-VPTR*00,273,F
IGKV0-VYPV*00,261,F
IGKV0-WCQH*00,279,F
IGKV0-WUFM*00,264,F
IGKV0-XI6B*00,258,F
IGKV0-XMXA*00,261,F
IGKV0-XQ62*00,264,F
IGKV0-XSTX*00,261,F
IGKV0-YC3Y*00,261,F
IGKV0-YCYO*00,261,F
IGKV0-YZJK*00,261,F
IGKV0-ZDJX*00,258,F
IGKV0-ZHS7*00,258,F
IGKV0-ZLYT*00,261,F
IGKV0-ZTTC*00,264,F
IGKV0-ZZ6J*00,276,F
