gene,anchor_index,function
IGHV1-18*01,285,F
IGHV1-2*02,285,F
IGHV1-2*04,285,F
IGHV1-24*01,285,F
IGHV1-3*01,285,F
IGHV1-3*02,285,F
IGHV1-45*02,285,F
IGHV1-46*01,285,F
IGHV1-58*01,285,F
IGHV1-58*02,285,F
IGHV1-69*01,285,F
IGHV1-69*04,285,F
IGHV1-69*05,285,F
IGHV1-69*20,285,F
IGHV1-69-2*01,285,F
IGHV1-8*01,285,F
IGHV1-8*03,285,F
IGHV2-26*02,288,F
IGHV2-5*01,288,F
IGHV2-5*02,288,F
IGHV2-70*15,288,F
IGHV2-70D*04,288,F
IGHV3-11*01,285,F
IGHV3-11*04,285,F
IGHV3-13*01,282,F
IGHV3-15*01,291,F
IGHV3-16*02,285,F
IGHV3-19*01,285,F
IGHV3-20*01,285,F
IGHV3-20*02,285,F
IGHV3-20*04,285,F
IGHV3-21*01,285,F
IGHV3-21*07,285,F
IGHV3-23*01,285,F
IGHV3-25*02,285,F
IGHV3-30*02,285,F
IGHV3-30*03,285,F
IGHV3-30*04,285,F
IGHV3-30*18,285,F
IGHV3-30*20,285,F
IGHV3-30*i02,285,F
IGHV3-30-3*01,285,F
IGHV3-33*01,285,F
IGHV3-35*02,285,F
IGHV3-38*01,279,F
IGHV3-38-3*01,279,F
IGHV3-43*01,285,F
IGHV3-43D*03,285,F
IGHV3-47*02,282,F
IGHV3-48*01,285,F
IGHV3-48*04,285,F
IGHV3-49*03,291,F
IGHV3-49*04,291,F
IGHV3-53*01,282,F
IGHV3-62*03,285,F
IGHV3-64*01,285,F
IGHV3-64D*06,285,F
IGHV3-66*01,282,F
IGHV3-69-1*01,282,F
IGHV3-7*01,285,F
IGHV3-72*01,291,F
IGHV3-73*01,291,F
IGHV3-74*01,285,F
IGHV3-9*01,285,F
IGHV3-9*03,285,F
IGHV3-NL1*01,285,F
IGHV4-28*01,285,F
IGHV4-30-2*01,288,F
IGHV4-30-4*01,288,F
IGHV4-30-4*08,288,F
IGHV4-31*03,288,F
IGHV4-34*01,282,F
IGHV4-38-2*01,285,F
IGHV4-38-2*02,285,F
IGHV4-39*01,288,F
IGHV4-39*07,288,F
IGHV4-4*02,285,F
IGHV4-4*07,282,F
IGHV4-4*10,285,F
IGHV4-59*01,282,F
IGHV4-61*02,288,F
IGHV4-NL1*01,282,F
IGHV5-10-1*01,285,F
IGHV5-51*01,285,F
IGHV6-1*01,294,F
IGHV7-4-1*01,285,F
IGHV7-4-1*02,285,F
IGHV7-81*01,285,F
IGHV8-51-1*02,285,F
