gene,anchor_index,function
IGLV1-51*01,264,F
IGLV3-12*02,258,F
IGLV3-10*01,258,F
IGLV4-60*02,273,F
IGLV5-52*01,285,F
IGLV10-54*02,264,F
IGLV11-55*01,285,F
IGLV3-21*02,258,F
IGLV7-43*01,267,F
IGLV7-46*04,267,F
IGLV3-22*01,258,F
IGLV1-41*01,264,F
IGLV1-47*02,264,F
IGLV3-9*01,258,F
IGLV2-18*01,267,F
IGLV11-55*02,285,F
IGLV3-25*02,258,F
IGLV2-23*03,267,F
IGLV1-44*02,264,F
IGLV3-16*01,258,F
IGLV2-33*01,267,F
IGLV3-27*01,258,F
IGLV1-44*03,264,F
IGLV3-25*03,258,F
IGLV1-44*01,264,F
IGLV5-37*01,285,F
IGLV1-36*01,264,F
IGLV3-13*01,258,F
IGLV7-46*02,267,F
IGLV2-8*01,267,F
IGLV1-50*01,267,F
IGLV2-11*01,267,F
IGLV6-57*02,270,F
IGLV4-60*03_c259t,273,F
IGLV5-48*01,285,F
IGLV2-14*05,267,F
IGLV3-19*01,258,F
IGLV3-1*01,258,F
IGLV3-21*03,258,F
IGLV3-21*04,258,F
IGLV4-69*01,273,F
IGLV2-14*01,267,F
IGLV5-45*04,285,F
IGLV5-48*02,285,F
IGLV1-40*01,267,F
IGLV6-57*01,270,F
IGLV5-45*02,285,F
IGLV3-2*03,258,F
IGLV5-45*01,285,F
IGLV5-45*03,285,F
IGLV4-3*01,273,F
IGLV1-41*02,264,F
IGLV9-49*01,276,F
IGLV8-61*01,267,F
IGLV5-39*01,285,F
IGLV2-14*04,267,F
IGLV2-14*03,267,F
IGLV6-57*03,270,F
IGLV8-61*02,267,F
IGLV1-47*01,264,F
IGLV4-60*03,273,F
IGLV2-18*02,267,F
IGLV3-25*03_g74c,258,F
IGLV10-54*01,264,F
IGLV2-14*01_g168t_t198g_c337t,267,F
IGLV1-51*02,264,F
IGLV7-46*01,267,F
IGLV3-19*02,258,F
IGLV2-23*02,267,F
IGLV3-22*03,258,F
IGLV10-54*04,264,F
IGLV10-54*05,264,F
IGLV1-36*01_c330g,264,F
IGLV3-16*01_t145g_t146c,258,F
IGLV5-37*02,285,F
IGLV2-23*04,267,F
IGLV3-12*01,258,F
IGLV6-57*04,270,F
IGLV5-37*03,285,F
